NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,19.5,51.75,28.0,2.0,24.5,44.75,23.75,28.0,nan,23.666666666666668
nan,nan,18.5,55.0,21.666666666666668,13.0,24.0,49.25,39.5,24.666666666666668,nan,18.0
nan,nan,nan,42.5,24.75,13.0,20.0,41.75,34.0,29.5,nan,27.0
nan,nan,21.0,49.25,23.75,23.0,15.666666666666666,40.5,18.5,30.25,20.0,16.0
nan,nan,26.0,44.5,33.333333333333336,23.0,15.0,43.75,30.5,23.666666666666668,23.0,29.333333333333332
nan,nan,17.0,45.25,28.5,7.0,13.0,52.25,18.25,31.5,nan,13.5
nan,nan,20.0,45.25,29.75,15.0,21.0,44.25,24.75,37.0,42.0,23.0
nan,nan,13.0,58.5,34.0,15.666666666666666,nan,45.25,28.25,36.0,nan,14.0
nan,nan,nan,61.0,31.0,15.0,15.0,56.75,29.333333333333332,nan,nan,18.333333333333332
nan,nan,nan,54.666666666666664,24.0,6.0,nan,61.75,22.0,nan,nan,11.333333333333334
nan,nan,15.0,58.5,35.0,29.0,28.0,53.0,22.666666666666668,nan,nan,40.0
nan,nan,19.0,62.0,32.666666666666664,17.0,nan,61.0,35.5,nan,nan,nan
nan,nan,19.0,63.333333333333336,43.0,25.0,21.0,58.0,33.666666666666664,nan,nan,nan
nan,nan,16.0,49.333333333333336,60.0,nan,21.0,59.333333333333336,49.0,nan,nan,44.0
nan,nan,16.0,77.0,40.0,4.5,nan,50.666666666666664,nan,45.5,nan,nan
nan,nan,16.0,65.0,38.666666666666664,nan,nan,54.75,36.0,55.0,nan,4.0
nan,nan,21.0,58.5,32.666666666666664,21.666666666666668,27.0,52.75,20.5,44.0,nan,30.0
nan,nan,20.0,61.0,35.0,7.0,nan,44.5,25.333333333333332,31.5,nan,19.333333333333332
nan,nan,nan,51.25,28.5,15.0,nan,42.75,24.25,28.666666666666668,nan,25.25
nan,nan,20.666666666666668,58.25,29.0,22.333333333333332,26.75,44.0,22.5,38.666666666666664,nan,30.666666666666668
nan,nan,18.0,47.25,24.0,5.0,29.0,44.75,35.0,32.5,nan,23.0
nan,nan,20.0,48.5,28.0,8.0,18.5,43.0,27.25,30.5,nan,15.333333333333334
nan,nan,24.0,53.666666666666664,28.0,17.0,nan,41.25,24.75,21.0,nan,30.666666666666668
nan,nan,24.5,47.5,19.333333333333332,18.5,30.0,43.75,33.666666666666664,45.0,nan,12.666666666666666
nan,nan,nan,53.5,25.666666666666668,22.0,nan,43.25,27.333333333333332,44.0,nan,16.0
nan,nan,17.0,52.25,16.0,6.0,28.0,35.75,16.0,37.0,nan,33.5
nan,nan,24.0,55.5,25.75,22.0,21.5,37.5,27.25,19.0,23.0,18.5
nan,nan,19.5,47.75,18.0,24.0,29.0,43.0,27.666666666666668,31.0,nan,26.0
nan,nan,21.0,55.0,23.0,23.0,11.0,42.0,24.0,24.0,nan,21.5
nan,nan,18.0,40.75,21.25,16.0,15.5,42.0,11.0,nan,13.0,19.333333333333332
nan,nan,3.0,46.0,24.75,10.5,23.0,49.5,26.75,41.0,nan,26.5
nan,nan,18.0,48.0,34.75,14.0,22.0,54.5,25.75,nan,nan,35.0
nan,nan,15.0,54.25,24.25,15.0,18.0,46.0,30.333333333333332,nan,nan,20.666666666666668
nan,nan,18.0,52.5,29.5,11.666666666666666,33.5,44.75,25.5,28.0,nan,34.0
nan,nan,6.5,65.0,32.25,28.0,20.5,46.25,29.333333333333332,26.5,nan,25.666666666666668
nan,nan,21.0,57.5,28.75,8.0,40.0,55.5,41.666666666666664,22.5,nan,30.0
nan,nan,nan,47.0,31.0,nan,nan,52.25,34.0,nan,48.0,45.0
nan,nan,22.0,53.5,35.0,nan,11.0,58.25,22.0,nan,nan,4.0
nan,nan,18.0,50.666666666666664,38.666666666666664,nan,7.0,51.0,27.5,nan,nan,22.0
nan,nan,12.0,58.75,36.666666666666664,nan,36.0,59.666666666666664,37.5,44.0,47.0,23.0
nan,nan,19.333333333333332,59.5,38.333333333333336,nan,15.0,45.0,16.5,35.5,nan,20.0
nan,nan,27.0,61.5,58.0,22.0,nan,56.666666666666664,34.0,50.0,nan,13.0
nan,nan,27.0,52.333333333333336,36.75,8.0,nan,49.75,31.0,19.5,nan,nan
nan,nan,nan,51.0,36.333333333333336,nan,28.0,54.666666666666664,25.666666666666668,22.0,nan,19.0
nan,nan,24.0,54.0,29.0,24.0,16.333333333333332,51.75,35.5,31.0,nan,28.0
nan,nan,nan,59.75,31.0,13.0,21.0,47.0,30.75,35.0,nan,41.333333333333336
nan,nan,nan,51.5,31.333333333333332,8.0,27.0,43.25,31.5,nan,nan,3.0
nan,nan,24.0,54.5,21.75,nan,20.0,51.25,27.333333333333332,37.0,nan,11.0
nan,nan,24.0,56.666666666666664,34.75,11.666666666666666,20.5,50.5,27.5,58.0,nan,17.333333333333332
nan,nan,39.0,57.25,20.666666666666668,10.0,18.5,46.5,24.5,73.0,nan,38.0
nan,nan,24.0,54.5,28.0,9.5,30.0,46.75,36.25,39.5,nan,17.0
nan,nan,4.0,48.25,29.25,16.0,15.0,49.75,20.333333333333332,34.333333333333336,nan,27.0
nan,nan,nan,52.75,25.666666666666668,16.5,37.0,49.5,28.0,32.0,1.0,22.0
nan,nan,21.0,45.5,27.75,16.75,nan,48.25,26.5,27.5,nan,22.5
nan,nan,28.0,52.5,23.666666666666668,21.333333333333332,30.0,46.0,32.0,40.0,nan,15.666666666666666
nan,nan,nan,51.25,33.5,26.5,15.5,45.0,22.0,18.0,nan,33.0
nan,nan,nan,50.0,27.666666666666668,nan,24.0,45.666666666666664,30.333333333333332,nan,19.0,32.5
nan,nan,14.0,55.25,35.666666666666664,13.333333333333334,13.5,50.5,26.333333333333332,52.0,nan,38.666666666666664
nan,nan,nan,54.5,18.666666666666668,9.0,nan,54.0,17.0,38.5,nan,16.0
nan,nan,22.0,49.25,26.0,27.0,nan,56.5,14.0,14.0,nan,11.333333333333334
nan,nan,26.5,49.75,31.0,17.5,21.0,54.75,27.333333333333332,nan,nan,16.333333333333332
nan,nan,16.0,53.75,33.333333333333336,21.0,25.0,50.333333333333336,26.666666666666668,15.0,nan,12.0
nan,nan,nan,62.0,29.0,19.0,19.5,52.0,22.0,nan,nan,nan
nan,nan,nan,58.25,29.0,nan,nan,56.333333333333336,45.0,30.0,nan,nan
nan,nan,nan,66.25,35.666666666666664,11.0,nan,62.25,29.0,nan,nan,19.0
nan,nan,19.0,66.5,39.5,19.5,29.0,57.5,24.0,nan,nan,nan
