BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
4.3,nan,nan,nan,nan,nan,nan,nan,14.5,12.333333333333334,19.25,11.5,25.0,18.5,16.0,14.0,19.0
3.67,nan,nan,nan,nan,nan,nan,nan,8.666666666666666,11.25,16.75,12.75,15.0,19.75,11.0,nan,28.0
3.22,nan,nan,nan,nan,nan,nan,nan,nan,10.5,16.0,11.333333333333334,13.0,27.25,5.0,7.5,11.666666666666666
2.92,nan,nan,nan,nan,nan,nan,nan,22.0,9.0,21.0,14.75,11.0,23.0,14.0,17.5,14.0
3.19,nan,nan,nan,nan,nan,nan,nan,8.0,11.0,19.666666666666668,13.0,13.25,nan,6.0,13.0,17.5
2.81,nan,nan,nan,nan,nan,nan,nan,25.0,13.5,24.25,13.333333333333334,8.0,18.0,9.0,17.0,18.0
2.47,nan,nan,nan,nan,nan,nan,nan,7.0,19.0,17.5,16.75,7.5,22.666666666666668,11.5,10.0,13.0
2.81,nan,nan,nan,nan,nan,nan,nan,5.5,16.333333333333332,15.333333333333334,14.5,7.666666666666667,19.5,8.0,11.666666666666666,16.333333333333332
2.67,nan,nan,nan,nan,nan,nan,nan,6.0,18.5,16.333333333333332,10.75,10.0,16.25,4.5,8.0,10.0
2.64,nan,nan,nan,nan,nan,nan,nan,8.5,12.0,16.75,10.25,10.75,5.5,4.0,7.0,13.5
2.59,nan,nan,nan,nan,nan,nan,nan,16.0,9.0,17.0,14.0,5.0,19.333333333333332,19.5,nan,18.0
1.8,nan,nan,nan,nan,nan,nan,nan,12.0,19.5,20.0,9.666666666666666,7.0,18.5,11.0,24.0,25.5
1.47,nan,nan,nan,nan,nan,nan,nan,10.0,21.0,13.0,21.0,25.0,25.0,10.666666666666666,13.0,25.5
1.59,nan,nan,nan,nan,nan,nan,nan,21.333333333333332,22.75,14.666666666666666,27.75,nan,28.333333333333332,16.0,31.0,22.333333333333332
3.08,nan,nan,nan,nan,nan,nan,nan,20.0,26.666666666666668,14.666666666666666,28.666666666666668,20.5,36.0,18.0,24.0,nan
3.2,nan,nan,nan,nan,nan,nan,nan,23.0,19.5,15.0,nan,22.0,29.0,nan,23.0,29.333333333333332
2.43,nan,nan,nan,nan,nan,nan,nan,24.0,21.0,14.0,45.0,nan,26.0,nan,nan,40.0
2.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,42.0,nan,34.0,nan,nan,nan
1.76,nan,nan,nan,nan,nan,nan,nan,nan,23.0,nan,nan,nan,nan,nan,nan,nan
