BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
nan,nan,nan,nan,nan,nan,nan,nan,13.0,28.333333333333332,36.0,28.0,7.0,20.666666666666668,11.0,nan,23.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,30.0,33.0,18.0,25.0,nan,nan,11.0
nan,nan,nan,nan,nan,nan,nan,nan,20.0,32.0,15.0,40.25,15.0,nan,23.0,nan,25.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,nan,50.666666666666664,3.0,nan,nan,nan,32.5
nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,42.0,nan,19.5,nan,7.0,24.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,21.0,38.0,nan,36.0,16.0,28.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,15.0,nan,nan,nan,nan,13.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,12.0,13.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,24.0,18.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,13.0,nan,16.0,13.0,nan,21.0
nan,nan,nan,nan,nan,nan,nan,nan,8.0,18.0,21.0,nan,nan,nan,nan,nan,27.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,nan,25.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,nan,25.0,21.0,12.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,26.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,23.0,nan,nan,nan,nan,nan,16.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,8.0,nan,nan,13.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,36.5,4.0,nan,29.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,15.5,19.333333333333332,17.0,24.0,nan,nan,5.0
nan,nan,nan,nan,nan,nan,nan,nan,14.0,22.333333333333332,15.5,18.0,8.5,22.5,10.0,10.0,19.0
nan,nan,nan,nan,nan,nan,nan,nan,17.666666666666668,16.0,23.333333333333332,18.75,17.0,14.333333333333334,9.5,18.0,8.0
nan,nan,nan,nan,nan,nan,nan,nan,7.333333333333333,15.0,10.0,11.0,13.0,15.0,8.0,8.0,7.666666666666667
nan,nan,nan,nan,nan,nan,nan,nan,11.666666666666666,5.5,11.5,16.5,7.5,14.666666666666666,6.0,4.0,11.0
nan,nan,nan,nan,nan,nan,nan,nan,17.0,24.0,22.5,17.5,12.333333333333334,17.5,7.5,5.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,30.5,33.25,8.0,32.0,6.0,nan,10.0
nan,nan,nan,nan,nan,nan,nan,nan,13.5,22.5,32.0,30.0,nan,31.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,18.0,15.0,21.0,28.0,18.0,nan,19.0
nan,nan,nan,nan,nan,nan,nan,nan,13.5,31.0,15.0,30.0,10.5,31.0,7.0,nan,28.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,20.0,37.0,nan,nan,23.0,nan,15.0
nan,nan,nan,nan,nan,nan,nan,nan,17.0,21.0,nan,nan,22.0,29.0,23.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,46.333333333333336,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,nan,nan,9.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,30.0,nan,nan,30.0,18.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,13.0,20.666666666666668,29.0,34.5,26.0,nan,nan,nan,25.5
nan,nan,nan,nan,nan,nan,nan,nan,12.5,20.333333333333332,25.0,13.666666666666666,14.333333333333334,18.0,15.0,2.0,17.0
nan,nan,nan,nan,nan,nan,nan,nan,16.5,10.666666666666666,10.0,19.0,12.5,21.75,13.25,11.0,15.0
nan,nan,nan,nan,nan,nan,nan,nan,11.25,13.25,10.666666666666666,13.75,12.333333333333334,20.333333333333332,7.25,4.0,13.0
nan,nan,nan,nan,nan,nan,nan,nan,11.5,13.0,13.0,16.333333333333332,8.0,22.666666666666668,11.25,10.0,24.5
nan,nan,nan,nan,nan,nan,nan,nan,12.25,10.666666666666666,13.333333333333334,17.25,8.0,18.5,10.0,13.0,14.333333333333334
nan,nan,nan,nan,nan,nan,nan,nan,14.5,12.5,11.333333333333334,18.0,10.0,16.25,8.666666666666666,8.666666666666666,12.25
nan,nan,nan,nan,nan,nan,nan,nan,12.0,18.333333333333332,17.666666666666668,11.0,11.333333333333334,22.0,11.0,4.0,15.666666666666666
nan,nan,nan,nan,nan,nan,nan,nan,16.0,20.333333333333332,17.5,14.666666666666666,10.5,21.666666666666668,11.5,5.0,16.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,16.0,18.333333333333332,23.666666666666668,17.75,12.0,14.666666666666666,14.0,6.5,17.0
nan,nan,nan,nan,nan,nan,nan,nan,13.333333333333334,18.0,25.5,19.25,12.5,15.5,13.0,23.0,23.5
nan,nan,nan,nan,nan,nan,nan,nan,10.5,20.0,16.75,18.0,5.5,11.25,8.0,8.0,21.5
nan,nan,nan,nan,nan,nan,nan,nan,16.0,27.333333333333332,16.25,22.5,13.0,19.5,11.0,9.0,13.0
nan,nan,nan,nan,nan,nan,nan,nan,9.0,18.0,31.0,13.75,8.0,23.5,7.5,12.5,24.5
nan,nan,nan,nan,nan,nan,nan,nan,19.666666666666668,18.333333333333332,22.666666666666668,24.666666666666668,7.75,18.25,15.0,8.25,20.0
nan,nan,nan,nan,nan,nan,nan,nan,16.333333333333332,19.75,23.0,14.25,5.0,25.0,19.666666666666668,17.5,29.0
nan,nan,nan,nan,nan,nan,nan,nan,12.5,24.0,21.0,16.0,nan,27.25,11.0,11.5,35.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,26.75,24.333333333333332,26.25,21.0,25.25,nan,19.5,25.75
nan,nan,nan,nan,nan,nan,nan,nan,15.5,29.666666666666668,nan,14.5,11.0,27.5,20.5,13.0,28.5
nan,nan,nan,nan,nan,nan,nan,nan,17.0,27.0,8.5,21.666666666666668,15.0,33.0,11.5,nan,27.5
nan,nan,nan,nan,nan,nan,nan,nan,21.0,28.0,10.0,28.5,16.0,31.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,15.0,nan,4.0,49.0,18.0,nan,nan,14.0,21.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,31.0,34.5,nan,nan,nan,18.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,38.0,45.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,6.0,12.5,29.0,20.0,nan,18.0,14.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,55.0,37.333333333333336,4.0,30.0,15.0,nan,33.0
nan,nan,nan,nan,nan,nan,nan,nan,21.0,22.5,49.0,38.666666666666664,15.25,15.0,11.5,21.0,24.0
nan,nan,nan,nan,nan,nan,nan,nan,13.333333333333334,18.75,31.0,25.0,14.0,29.0,9.5,16.0,24.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,16.666666666666668,nan,16.25,14.666666666666666,19.0,10.0,15.333333333333334,16.0
nan,nan,nan,nan,nan,nan,nan,nan,9.0,13.333333333333334,15.5,15.5,12.0,24.25,10.0,15.5,15.0
nan,nan,nan,nan,nan,nan,nan,nan,11.0,15.0,12.333333333333334,14.0,4.666666666666667,12.333333333333334,9.5,5.0,8.0
nan,nan,nan,nan,nan,nan,nan,nan,15.333333333333334,20.5,11.0,13.0,7.0,18.0,9.333333333333334,9.0,21.0
nan,nan,nan,nan,nan,nan,nan,nan,10.5,19.333333333333332,15.0,13.75,14.0,22.5,8.5,7.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,7.0,20.0,18.5,9.333333333333334,13.0,19.5,3.0,16.0,17.5
nan,nan,nan,nan,nan,nan,nan,nan,10.0,19.0,nan,18.25,17.0,25.333333333333332,14.0,16.0,26.5
nan,nan,nan,nan,nan,nan,nan,nan,12.333333333333334,23.333333333333332,25.5,30.0,10.0,18.5,12.666666666666666,10.0,23.0
nan,nan,nan,nan,nan,nan,nan,nan,12.0,22.25,11.5,10.666666666666666,10.0,23.666666666666668,9.5,12.0,21.0
nan,nan,nan,nan,nan,nan,nan,nan,13.5,29.0,32.333333333333336,18.0,24.0,21.0,8.0,8.5,25.0
nan,nan,nan,nan,nan,nan,nan,nan,14.0,21.75,21.5,13.0,nan,27.25,nan,nan,27.25
nan,nan,nan,nan,nan,nan,nan,nan,16.0,21.75,16.666666666666668,13.666666666666666,10.0,17.5,11.0,15.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,17.0,23.75,16.5,15.0,12.0,36.666666666666664,12.5,20.333333333333332,19.0
nan,nan,nan,nan,nan,nan,nan,nan,17.5,22.0,13.666666666666666,13.666666666666666,20.0,20.333333333333332,19.0,nan,21.666666666666668
nan,nan,nan,nan,nan,nan,nan,nan,16.333333333333332,26.666666666666668,21.5,17.0,17.0,31.0,8.0,13.5,26.25
nan,nan,nan,nan,nan,nan,nan,nan,14.666666666666666,30.0,31.0,20.0,nan,nan,nan,23.0,30.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,nan,40.0,nan,33.0,19.0,nan,28.5
nan,nan,nan,nan,nan,nan,nan,nan,15.0,29.333333333333332,nan,49.333333333333336,nan,31.25,17.333333333333332,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,36.5,22.0,31.0,nan,nan,nan,nan,44.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,14.5,nan,32.333333333333336,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,21.0,37.5,34.0,21.0,nan,22.5,20.0,nan,40.5
nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,33.0,31.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,3.0,38.0,nan,nan,19.5,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,15.0,18.0,48.0,24.0,nan,26.5,nan,11.0,4.0
nan,nan,nan,nan,nan,nan,nan,nan,15.0,17.0,42.0,31.5,12.5,27.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,12.5,nan,30.0,16.5,14.0,18.5,6.0,16.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,24.0,15.5,38.0,31.0,11.0,18.0,20.5,15.5,19.5
nan,nan,nan,nan,nan,nan,nan,nan,12.0,26.0,15.666666666666666,33.333333333333336,20.0,27.666666666666668,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,14.0,18.333333333333332,nan,18.666666666666668,13.5,29.333333333333332,9.5,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,16.0,15.0,22.25,15.333333333333334,7.0,29.0,8.0,nan,21.0
nan,nan,nan,nan,nan,nan,nan,nan,21.5,24.0,nan,26.333333333333332,12.0,20.0,11.0,18.0,33.0
nan,nan,nan,nan,nan,nan,nan,nan,23.0,27.0,nan,22.0,14.0,17.0,9.0,15.0,15.0
nan,nan,nan,nan,nan,nan,nan,nan,17.0,15.333333333333334,24.5,7.0,18.0,15.0,15.0,nan,17.666666666666668
nan,nan,nan,nan,nan,nan,nan,nan,11.0,23.333333333333332,20.0,nan,18.0,27.0,14.666666666666666,nan,25.0
nan,nan,nan,nan,nan,nan,nan,nan,10.0,24.0,23.5,18.666666666666668,14.333333333333334,26.0,17.0,17.0,22.5
nan,nan,nan,nan,nan,nan,nan,nan,3.0,26.333333333333332,18.666666666666668,22.333333333333332,nan,25.0,7.0,nan,31.0
nan,nan,nan,nan,nan,nan,nan,nan,14.0,34.0,37.0,37.0,nan,28.0,nan,23.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,23.0,41.5,28.0,24.5,16.5,20.5,18.0,33.0
nan,nan,nan,nan,nan,nan,nan,nan,21.0,19.0,46.0,18.0,22.0,28.0,nan,24.0,30.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,nan,nan,20.0,nan,19.0,nan,28.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,nan,33.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,36.5,36.0,nan,26.0,nan,nan,15.0,35.0
nan,nan,nan,nan,nan,nan,nan,nan,19.0,30.0,29.5,18.0,nan,32.0,nan,nan,17.0
nan,nan,nan,nan,nan,nan,nan,nan,13.5,15.5,9.5,13.5,14.0,26.0,15.0,18.0,21.666666666666668
nan,nan,nan,nan,nan,nan,nan,nan,12.666666666666666,17.666666666666668,18.0,16.25,20.333333333333332,26.5,17.0,12.5,16.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,10.0,16.333333333333332,16.333333333333332,17.75,9.5,19.0,10.666666666666666,15.0,23.5
nan,nan,nan,nan,nan,nan,nan,nan,11.5,18.5,22.0,17.25,7.0,21.5,16.5,nan,17.25
nan,nan,nan,nan,nan,nan,nan,nan,9.666666666666666,17.0,15.333333333333334,16.75,12.25,27.0,15.0,12.333333333333334,23.25
nan,nan,nan,nan,nan,nan,nan,nan,14.333333333333334,18.333333333333332,10.5,20.25,12.0,23.25,10.0,15.0,18.25
nan,nan,nan,nan,nan,nan,nan,nan,16.0,10.666666666666666,20.0,16.0,9.666666666666666,24.0,8.5,12.5,20.0
nan,nan,nan,nan,nan,nan,nan,nan,13.0,15.5,17.0,20.75,9.0,14.75,12.0,11.666666666666666,1.0
nan,nan,nan,nan,nan,nan,nan,nan,9.666666666666666,18.5,17.5,13.5,7.5,18.0,11.0,6.0,14.5
nan,nan,nan,nan,nan,nan,nan,nan,13.0,15.666666666666666,17.25,16.75,11.5,17.666666666666668,10.0,6.0,15.0
nan,nan,nan,nan,nan,nan,nan,nan,15.0,14.25,16.5,18.0,11.666666666666666,17.75,11.5,3.0,23.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,8.0,19.333333333333332,14.5,23.0,12.75,16.25,10.0,10.0,14.5
nan,nan,nan,nan,nan,nan,nan,nan,10.0,20.666666666666668,38.0,16.666666666666668,9.0,19.666666666666668,12.0,20.0,19.0
nan,nan,nan,nan,nan,nan,nan,nan,13.0,15.0,nan,25.25,11.666666666666666,25.5,18.0,18.0,12.5
nan,nan,nan,nan,nan,nan,nan,nan,9.0,16.0,28.5,34.0,nan,30.0,27.0,nan,13.0
nan,nan,nan,nan,nan,nan,nan,nan,14.666666666666666,nan,30.5,25.0,18.5,20.5,16.0,nan,29.5
nan,nan,nan,nan,nan,nan,nan,nan,17.5,22.5,nan,23.0,nan,30.666666666666668,13.666666666666666,23.5,30.0
nan,nan,nan,nan,nan,nan,nan,nan,28.0,33.5,43.0,17.5,20.5,nan,13.0,20.0,29.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,30.0,41.0,16.0,nan,nan,17.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,nan,nan,nan,nan,32.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,23.0,nan,26.0,17.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,19.0,nan,nan,nan,nan,nan,22.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,14.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,18.5,30.0,18.0,nan,25.333333333333332,nan,nan,33.0
nan,nan,nan,nan,nan,nan,nan,nan,14.5,24.5,24.0,17.25,21.0,21.25,18.5,nan,10.5
nan,nan,nan,nan,nan,nan,nan,nan,15.0,14.5,16.0,12.25,14.666666666666666,21.75,13.0,10.0,21.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,12.5,16.0,19.75,14.0,15.75,16.0,11.333333333333334,17.5,18.666666666666668
nan,nan,nan,nan,nan,nan,nan,nan,11.333333333333334,15.0,17.666666666666668,17.5,8.5,18.666666666666668,11.0,14.333333333333334,26.0
nan,nan,nan,nan,nan,nan,nan,nan,10.25,16.0,16.333333333333332,12.75,7.666666666666667,15.5,7.5,nan,19.0
nan,nan,nan,nan,nan,nan,nan,nan,12.25,10.5,14.0,11.0,7.75,22.5,7.5,8.0,13.666666666666666
nan,nan,nan,nan,nan,nan,nan,nan,20.25,20.0,20.0,17.5,13.666666666666666,20.75,12.5,nan,9.0
nan,nan,nan,nan,nan,nan,nan,nan,16.5,15.0,20.75,17.0,11.5,15.5,8.25,12.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,16.5,15.5,20.5,17.0,9.666666666666666,23.666666666666668,15.333333333333334,8.5,22.0
nan,nan,nan,nan,nan,nan,nan,nan,15.25,18.666666666666668,19.666666666666668,17.0,6.333333333333333,20.5,10.0,9.0,18.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,11.75,19.0,7.0,15.25,8.0,15.25,11.333333333333334,9.5,18.0
nan,nan,nan,nan,nan,nan,nan,nan,12.0,16.0,22.0,18.333333333333332,8.25,18.0,8.666666666666666,12.0,11.333333333333334
nan,nan,nan,nan,nan,nan,nan,nan,14.25,19.0,20.75,15.0,8.0,16.75,7.333333333333333,5.0,36.0
nan,nan,nan,nan,nan,nan,nan,nan,12.0,16.333333333333332,21.25,23.25,10.75,13.25,3.0,10.0,24.5
nan,nan,nan,nan,nan,nan,nan,nan,8.0,31.0,26.5,19.333333333333332,12.5,24.0,7.5,13.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,13.0,25.5,nan,33.5,9.5,28.5,13.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,16.0,29.333333333333332,20.0,27.75,7.0,nan,20.0
nan,nan,nan,nan,nan,nan,nan,nan,17.25,28.333333333333332,16.0,36.0,14.5,26.0,nan,24.0,36.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,nan,22.666666666666668,nan,nan,nan,26.333333333333332
nan,nan,nan,nan,nan,nan,nan,nan,nan,21.5,17.0,44.0,nan,33.0,nan,nan,31.0
nan,nan,nan,nan,nan,nan,nan,nan,22.0,27.0,nan,nan,3.0,nan,nan,nan,30.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,24.0,nan,nan,nan,nan,nan,35.0
3.93,nan,15.0,30.0,33.0,nan,nan,4.0,15.0,21.666666666666668,29.333333333333332,24.0,14.0,30.0,9.0,19.0,26.0
5.37,nan,26.0,26.0,28.0,42.0,11.0,4.0,13.666666666666666,6.5,21.5,17.75,6.0,25.0,16.666666666666668,17.5,9.0
5.21,nan,22.0,26.0,40.0,46.0,19.0,4.0,13.75,11.666666666666666,15.0,17.0,11.75,20.666666666666668,11.666666666666666,12.666666666666666,17.333333333333332
5.13,nan,18.0,25.0,50.0,52.0,19.0,3.0,12.666666666666666,17.0,22.0,16.25,8.5,22.0,11.25,nan,25.5
4.62,nan,14.0,25.0,62.0,36.0,8.0,3.0,7.666666666666667,10.0,13.333333333333334,13.75,9.0,19.5,10.666666666666666,11.666666666666666,17.5
5.25,nan,8.0,25.0,96.0,40.0,14.0,3.0,13.5,18.5,24.5,14.0,12.0,21.75,6.333333333333333,nan,nan
3.31,nan,7.0,26.0,98.0,49.0,12.0,3.0,nan,17.75,13.666666666666666,17.0,11.0,18.75,13.0,13.0,26.5
3.59,nan,11.0,31.0,86.0,56.0,11.0,3.0,14.5,31.0,39.0,19.5,10.333333333333334,18.333333333333332,13.5,13.5,nan
4.12,nan,7.0,27.0,91.0,35.0,12.0,3.0,21.0,12.333333333333334,18.0,11.0,13.5,12.5,15.666666666666666,14.5,27.0
3.45,nan,10.0,25.0,73.0,36.0,17.0,3.0,9.333333333333334,20.0,20.0,21.0,14.25,15.0,7.0,11.0,22.0
5.22,nan,18.0,30.0,84.0,46.0,19.0,3.0,18.666666666666668,16.0,16.333333333333332,20.0,19.333333333333332,13.25,8.666666666666666,13.0,8.0
3.87,nan,11.0,31.0,77.0,58.0,18.0,3.0,15.666666666666666,26.333333333333332,18.0,19.666666666666668,11.0,20.5,8.75,14.0,19.0
4.5,nan,14.0,30.0,58.0,43.0,18.0,4.0,15.333333333333334,22.0,32.0,18.5,14.5,20.0,9.666666666666666,7.0,18.0
9.73,nan,44.0,34.0,4.0,51.0,22.0,5.0,18.0,nan,30.0,24.333333333333332,9.25,21.5,11.666666666666666,19.0,nan
14.37,nan,103.0,34.0,1.0,64.0,28.0,5.0,18.333333333333332,20.75,19.5,20.0,12.0,25.333333333333332,14.0,14.0,nan
15.01,nan,145.0,32.0,1.0,93.0,45.0,5.0,19.5,12.0,19.0,37.0,nan,21.0,12.0,nan,26.5
12.76,nan,161.0,31.0,1.0,93.0,48.0,5.0,24.0,24.0,2.0,16.0,25.0,31.0,18.0,nan,20.5
13.21,nan,160.0,31.0,2.0,76.0,40.0,4.0,nan,28.333333333333332,40.0,39.0,nan,20.0,nan,22.0,32.0
3.38,nan,75.0,32.0,92.0,54.0,23.0,3.0,nan,18.0,40.5,46.5,nan,nan,nan,nan,24.0
1.24,nan,19.0,30.0,79.0,27.0,16.0,3.0,nan,nan,nan,43.5,nan,nan,21.0,nan,nan
1.66,nan,9.0,21.0,76.0,31.0,17.0,5.0,nan,28.0,41.0,nan,nan,32.5,nan,nan,26.0
1.11,nan,8.0,16.0,40.0,27.0,18.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.39,nan,13.0,19.0,23.0,32.0,17.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.19,nan,14.0,21.0,27.0,42.0,20.0,4.0,nan,25.0,1.0,19.0,8.0,29.0,nan,nan,nan
4.07,nan,25.0,23.0,10.0,39.0,20.0,4.0,19.5,18.0,25.5,21.25,16.0,29.0,21.0,20.0,29.0
6.03,nan,38.0,27.0,17.0,58.0,23.0,4.0,15.666666666666666,15.333333333333334,15.333333333333334,13.0,8.0,21.5,18.666666666666668,16.0,13.0
4.07,nan,24.0,32.0,53.0,110.0,30.0,3.0,20.666666666666668,16.25,16.5,19.666666666666668,15.0,22.0,15.5,20.0,1.0
4.28,nan,12.0,31.0,67.0,50.0,21.0,3.0,10.0,11.0,25.25,18.0,14.0,15.5,6.0,13.0,19.0
3.62,nan,8.0,29.0,70.0,43.0,19.0,3.0,12.5,17.25,21.0,15.5,10.0,20.5,9.0,19.0,15.0
3.42,nan,6.0,27.0,91.0,45.0,21.0,2.0,18.666666666666668,17.666666666666668,13.0,14.5,13.0,16.5,13.0,14.0,24.0
4.22,nan,7.0,28.0,77.0,39.0,15.0,3.0,8.0,14.0,18.0,14.333333333333334,10.5,19.333333333333332,10.0,19.0,27.0
4.47,nan,7.0,29.0,95.0,36.0,18.0,3.0,17.0,15.5,17.0,24.5,10.0,15.0,12.0,13.666666666666666,21.0
1.98,nan,6.0,23.0,89.0,38.0,19.0,3.0,16.333333333333332,16.0,8.0,23.75,16.0,22.25,12.5,13.0,41.0
2.54,nan,6.0,24.0,86.0,29.0,13.0,3.0,9.0,15.333333333333334,11.333333333333334,23.25,13.0,14.75,15.5,7.0,15.0
3.58,nan,7.0,27.0,85.0,31.0,10.0,3.0,12.5,22.5,19.5,16.75,8.666666666666666,13.0,11.5,11.5,3.5
4.44,nan,9.0,34.0,75.0,31.0,13.0,3.0,9.0,13.5,24.0,22.25,15.5,19.0,6.666666666666667,10.5,13.666666666666666
4.23,nan,7.0,31.0,75.0,38.0,12.0,3.0,nan,20.0,22.333333333333332,12.75,8.5,15.5,6.666666666666667,10.0,nan
5.09,nan,8.0,29.0,68.0,38.0,15.0,3.0,10.666666666666666,24.333333333333332,16.0,31.0,6.0,23.333333333333332,14.0,11.0,23.333333333333332
3.29,nan,6.0,22.0,75.0,42.0,16.0,3.0,17.0,16.666666666666668,35.5,18.0,12.0,31.5,11.666666666666666,nan,21.666666666666668
1.98,nan,6.0,17.0,80.0,29.0,16.0,3.0,11.0,22.5,35.0,28.75,13.0,25.333333333333332,9.0,15.0,22.0
1.95,nan,6.0,15.0,83.0,30.0,13.0,3.0,13.5,17.666666666666668,24.666666666666668,13.5,nan,31.0,9.0,14.5,34.0
1.35,nan,6.0,13.0,83.0,27.0,14.0,3.0,9.5,26.5,27.0,22.0,20.0,38.0,nan,nan,21.5
